100,100,102481000
100,200,103576000
100,300,98928000
100,400,99476000
100,500,94550000
100,600,101844000
100,700,101878000
100,800,103784000
100,900,103923000
100,1000,103690000
200,100,88055000
200,200,94558000
200,300,99666000
200,400,100744000
200,500,101590000
200,600,101964000
200,700,102466000
200,800,103608000
200,900,102852000
200,1000,94840000
300,100,87490000
300,200,94288000
300,300,99924000
300,400,100280000
300,500,100825000
300,600,103014000
300,700,102144000
300,800,104016000
300,900,103365000
300,1000,103860000
400,100,87395000
400,200,93948000
400,300,99960000
400,400,100156000
400,500,100910000
400,600,102780000
400,700,101745000
400,800,103160000
400,900,103410000
400,1000,102710000
500,100,87775000
500,200,87828000
500,300,99501000
500,400,100300000
500,500,101530000
500,600,101814000
500,700,102879000
500,800,103176000
500,900,103707000
500,1000,104060000
600,100,87719000
600,200,92674000
600,300,99627000
600,400,100652000
600,500,101010000
600,600,102840000
600,700,102725000
600,800,103248000
600,900,102924000
600,1000,103230000
700,100,88142000
700,200,94684000
700,300,98958000
700,400,100448000
700,500,101345000
700,600,102870000
700,700,102711000
700,800,103696000
700,900,103068000
700,1000,103610000
800,100,87810000
800,200,94576000
800,300,98409000
800,400,100684000
800,500,101040000
800,600,101658000
800,700,102466000
800,800,103752000
800,900,103428000
800,1000,102760000
900,100,86979000
900,200,94068000
900,300,98853000
900,400,100468000
900,500,101235000
900,600,102312000
900,700,102235000
900,800,102936000
900,900,96651000
900,1000,103140000
1000,100,87240000
1000,200,94468000
1000,300,99048000
1000,400,99924000
1000,500,101590000
1000,600,102846000
1000,700,102627000
1000,800,103680000
1000,900,103743000
1000,1000,103500000
